----------------------------------------------------------------------------------,,,,
Search Criteria: ,,,,
"Text Search: lung cancer (and);Search in: Projects 		AdminIC: All; Fiscal Year: Active Projects ",,,,
----------------------------------------------------------------------------------,,,,
Project Title,Organization Name,FY,FY Total Cost ,FY Total Cost  (Sub Projects)
PATHMAP NSCLC: A FUNCTIONAL COMPANION DIAGNOSTIC TEST TO PREDICT OPTIMAL THERAPY FOR PATIENTS WITH NON-SMALL CELL LUNG CANCER.,"BIOMARKER STRATEGIES, LLC",2015,299876,
CHEMICAL CELL SURFACE ENGINEERING,STANFORD UNIVERSITY,2016,428360,
MOLECULAR GENETICS OF DYSKERATOSIS CONGENITA,BAYLOR COLLEGE OF MEDICINE,2016,522587,
ANTIGEN-SPECIFIC T-CELL ACTIVATION; APPLICATION TO VACCINES FOR CANCER AND AIDS,DIVISION OF CLINICAL SCIENCES - NCI,2015,3304387,
THE IMPACT OF ZINC ON INNATE IMMUNITY AND PATIENT SAFETY IN SEPSIS,OHIO STATE UNIVERSITY,2016,124565,
JAK2_STAT3 AS A THERAPEUTIC TARGET AND MARKER OF GRAFT-VERSUS-HOST DISEASE,H. LEE MOFFITT CANCER CTR & RES INST,2016,156924,
CANCER PHARMACOKINETICS AND PHARMACODYNAMICS FACILITY,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2016,,203836
SYNERGIZING GENOME SEQUENCING WITH ADVANCES IN PATIENT REPRTED OUTCOMES (PRO),MAYO CLINIC ROCHESTER,2016,671583,
UBIQUILIN1 REGULATES EMT AND METASTASIS OF HUMAN LUNG ADENOCARCINOMA,UNIVERSITY OF LOUISVILLE,2016,51321,
UBIQUILIN1 REGULATES EMT AND METASTASIS OF HUMAN LUNG ADENOCARCINOMA,UNIVERSITY OF LOUISVILLE,2016,352275,
SEQUENCE-BASED PATHOGEN DISCOVERY IN POST-STEM CELL TRANSPLANTATION SYNDROMES,STANFORD UNIVERSITY,2017,173448,
FUNCTIONAL IMAGING OF THE METASTATIC PHENOTYPE,JOHNS HOPKINS UNIVERSITY,2014,310791,
JHU ICMIC PROGRAM,JOHNS HOPKINS UNIVERSITY,2015,1485716,
MOLECULAR IMAGING OF CACHEXIA IN PANCREATIC CANCER,JOHNS HOPKINS UNIVERSITY,2016,370575,
ULTRASENSITIVE MEASURE OF HUMAN MUTAGENESIS: CONNECTING THE EXPOSOME TO DISEASE,FRED HUTCHINSON CANCER RESEARCH CENTER,2016,396000,
NICOTINE DEPENDENCE TO SMOKING CESSATION: SEQUENCING COMMON AND RARE VARIANTS,WASHINGTON UNIVERSITY,2016,5767,
NICOTINE DEPENDENCE TO SMOKING CESSATION: SEQUENCING COMMON AND RARE VARIANTS,WASHINGTON UNIVERSITY,2016,725729,
CLINICAL AND BEHAVIORAL STUDIES OF MALFORMATION,NATIONAL HUMAN GENOME RESEARCH INSTITUTE,2015,1034538,
VACCINE IMMUNOTOXIN AND RADIOIMMUNOTHERAPY OF PRIMARY AND METASTATIC CNS TUMORS,DUKE UNIVERSITY,2016,2641256,
BIT1 AS A TUMOR SUPPRESSOR AND A THERAPEUTIC TARGET IN NSCLC,XAVIER UNIVERSITY OF LOUISIANA,2015,427627,
NON-CANONICAL SIGNAL PATHWAY FOR CRK IN BREAST CANCER,RBHS-NEW JERSEY MEDICAL SCHOOL,2016,13955,
NON-CANONICAL SIGNAL PATHWAY FOR CRK IN BREAST CANCER,RBHS-NEW JERSEY MEDICAL SCHOOL,2016,329925,
MECHANISTIC EVALUATION OF BROCCOLI SPROUT EXTRACT IN PRECLINICAL COPD MODELS,JOHNS HOPKINS UNIVERSITY,2016,442846,
CROSSTALK OF LKB1 AND KEAP1 MUTATIONS IN DRIVING GROWTH OF LUNG ADENOCARCINOMA,JOHNS HOPKINS UNIVERSITY,2016,403380,
E-CIGARETTE USE AS A MODIFIER OF ORAL HOST DEFENSE AND MICROBIOME IN YOUNG ADULTS,JOHNS HOPKINS UNIVERSITY,2016,410975,
RATIONAL COMBINED INHIBITION OF NF-KB AND EGFR TO OPTIMIZE LUNG CANCER TREATMENT,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",2016,342701,
DISCOVERY OF RATIONAL COMPANION THERAPEUTIC TARGETS TO OPTIMIZE CANCER TREATMENT,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",2012,2348750,
CELL SURVIVAL DETERMINANTS OF METASTASIS IN IGF1R-DEPENDENT CRC,UNIVERSITY OF NEBRASKA MEDICAL CENTER,2016,239369,
THERAPEUTIC MECHANISMS OF RHOA INHIBITION IN ACUTE LUNG INJURY,GEORGIA REGENTS UNIVERSITY,2016,,352499
ADMINISTRATIVE CORE,UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,2016,,123348
HYPOXIC ADENOSINE RESPONSES,UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,2016,2049519,
TRANSLATIONAL PHARMACOLOGY CORE,HARVARD MEDICAL SCHOOL,2016,,74830
IMAGING ACTIVATED MACROPHAGES IN THE LUNGS,VANDERBILT UNIVERSITY,2016,689714,
ASBESTOS FATE; EXPOSURE; REMEDIATION; AND ADVERSE HEALTH EFFECTS,UNIVERSITY OF PENNSYLVANIA,2016,10800,
BIOMEDICAL PROJECT 6 - BIOMARKERS OF ASBESTOS EXPOSURE,UNIVERSITY OF PENNSYLVANIA,2016,,282362
ASBESTOS FATE; EXPOSURE; REMEDIATION; AND ADVERSE HEALTH EFFECTS,UNIVERSITY OF PENNSYLVANIA,2016,2253090,
TUMOR MICROENVIRONMENT: IMPACT ON T CELL TUMOR-TARGETING; ACTIVATION AND SURVIVAL,SLOAN-KETTERING INST CAN RESEARCH,2016,470514,
EARLY LIFE ADVERSITY AND ADULTHOOD HEALTH: THE ROLE OF PUBERTAL DEVELOPMENT,UNIVERSITY OF WASHINGTON,2016,797271,
EX-MIRNA RELEASE BY IMMUNE CELLS,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",2016,,139443
FUNCTION OF EXTRACELLULAR SMALL RNAS IN CONDITIONAL MOUSE MODELS OF LIVER CANCER,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",2016,,135553
MOLECULAR AND BIOCHEMICAL BASIS OF LYMPHANGIOLEIOMYOMATOSIS,WEILL MEDICAL COLL OF CORNELL UNIV,2016,502724,
IRHOMS 1 AND 2: KEY REGULATORS OF ADAM17-DEPENDENT EGFR SIGNALING,HOSPITAL FOR SPECIAL SURGERY,2016,376200,
COHORT MANAGEMENT,FRED HUTCHINSON CANCER RESEARCH CENTER,2016,,289011
TARGETING SIGLEC-8/-F TO TREAT EOSINOPHIL AND MAST CELL RELATED DISORDERS,NORTHWESTERN UNIVERSITY AT CHICAGO,2016,386250,
MOUSE PHENOME PROJECT,JACKSON LABORATORY,2016,480201,
ELECTRICAL SYSTEM FOR RAPIDLY DETECTING VIABLE BACTERIA IN BLOOD CULTURE,"TECHSHOT, INC.",2016,936396,
ROLE OF DNA GLYCOSYLASE OGG1 IN OXIDATIVE STRESS-INDUCED INNATE INFLAMMATION,UNIVERSITY OF TEXAS MEDICAL BR GALVESTON,2016,,256906
GENETIC SUSCEPTIBILITY TO NANOPARTICLE-INDUCED RESPIRATORY DISEASE,NORTH CAROLINA STATE UNIVERSITY RALEIGH,2017,13521,
GENETIC SUSCEPTIBILITY TO NANOPARTICLE-INDUCED RESPIRATORY DISEASE,NORTH CAROLINA STATE UNIVERSITY RALEIGH,2016,335515,
PILOT/EXPLORATORY STUDIES CORE (PESC),ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,2016,,126146
RESISTANCE TO MTB INFECTION IN HIV INFECTED INDIVIDUALS IN UGANDA AND S. AFRICA,CASE WESTERN RESERVE UNIVERSITY,2016,2292400,
USE OF BETA-LAPACHONE FOR LUNG CANCER CHEMOTHERAPY,UT SOUTHWESTERN MEDICAL CENTER,2016,335140,
RPRD1B/KUB5/HERA; AN RNA POL II DETERMINANT THAT CONTROLS PARPI & IR SENSITIVITY,UT SOUTHWESTERN MEDICAL CENTER,2016,369527,
VALIDATION AND ADVANCED DEVELOPMENT OF GLYCAN NODE ANALYSIS IN LUNG CANCER RESEARCH,ARIZONA STATE UNIVERSITY-TEMPE CAMPUS,2016,240355,
MECHANISMS OF HER2 HETERODIMERIZATION,WASHINGTON UNIVERSITY,2016,315400,
CONGENIC MOUSE MEDELS OF MELANOMA FOR THE CHARACTERIZATION OF TUMOR IMMUNE RESPONSES,YALE UNIVERSITY,2016,550926,
REGULATION OF PD-1 GENE EXPRESSION,EMORY UNIVERSITY,2016,386850,
PERSONALIZED RADIATION THERAPY THROUGH FUNCTIONAL LUNG AVOIDANCE AND RESPONSE-ADAPTIVE DOSE ESCALATION: UTILIZING MULTIMODAL MOLECULAR IMAGING TO IMPROVE THE THERAPEUTIC RATIO,UNIVERSITY OF WASHINGTON,2016,453066,
STRUCTURAL STUDIES OF THE TUMOR M2 ISOFORM OF PYRUVATE KINASE,JOHNS HOPKINS UNIVERSITY,2015,176175,
MULTI SOURCE E-BEAM KV X-RAY TUBE FOR IMAGE-GUIDED RADIOTHERAPHY,"TELESECURITY SCIENCES, INC.",2016,1254926,
IDENTIFICATION AND CHARACTERIZATION OF CAROTENOID REPAIR ENZYMES,YORK COLLEGE,2016,147006,
REGULATION OF CHRONIC VIRAL INFECTIONS,SANFORD BURNHAM PREBYS MEDICAL DISCOVERY INSTITUTE,2016,487500,
CURRENT-USE FUMIGANTS: HEALTH EFFECTS OF PRENATAL AND EARLY CHILDHOOD EXPOSURES,UNIVERSITY OF CALIFORNIA BERKELEY,2014,321959,
NEW ELECTROGRAPHIC BIOMARKERS OF EPILEPTOGENESIS,UNIVERSITY OF CALIFORNIA LOS ANGELES,2016,581821,
JOHNS HOPKINS UNIVERSITY NCTN LEAD ACADEMIC SITE PROGRAM,JOHNS HOPKINS UNIVERSITY,2016,50000,
JOHNS HOPKINS UNIVERSITY NCTN LEAD ACADEMIC SITE PROGRAM,JOHNS HOPKINS UNIVERSITY,2016,639550,
INVESTIGATING THE ROLE OF NOVEL DRUG TARGET TBK1 IN PANCREATIC CANCER PATHOGENESIS,UNIVERSITY OF MICHIGAN,2015,27120,
TRAINING AND EDUCATION CORE,SOUTHERN ILLINOIS UNIVERSITY SCH OF MED,2016,,17478
'IMI HALE NATIVE HAWAIIAN CANCER NETWORK,PAPA OLA LOKAHI,2015,303329,
SELF AND DIETARY LIPID ANTIGENS FOR INVARIANT NATURAL KILLER T CELLS,BRIGHAM AND WOMEN'S HOSPITAL,2016,184020,
RAPID AUTOMATED HIGH-THROUGHPUT RADIATION BIODOSIMETRY,COLUMBIA UNIVERSITY HEALTH SCIENCES,2016,,557694
CLINICAL ANALYSIS OF DISORDERS OF HEARING AND BALANCE,NATIONAL INSTITUTE ON DEAFNESS AND OTHER COMMUNICATION DISORDERS,2015,917763,
MOBILE MINDFULNESS FOR SMOKING CESSATION,UNIV OF MASSACHUSETTS MED SCH WORCESTER,2015,218588,
MICRORNA REGULATION OF CTGF IN HEPATIC STELLATE CELLS,RESEARCH INST NATIONWIDE CHILDREN'S HOSP,2016,325800,
SPATIOTEMPORAL ANALYSIS OF DISPARITIES IN OVARIAN CANCER TREATMENT AND SURVIVAL,UNIVERSITY OF CALIFORNIA-IRVINE,2016,386250,
MULTIPARAMETER SINGLE-CELL GENOMICS PLATFORM FOR PERSONALIZED TREATMENT OF CANCER,STATE UNIVERSITY NEW YORK STONY BROOK,2016,549310,
ELUCIDATING THE INHIBITORY MECHANISMS OF RNA TRIPLE HELICES IN NUCLEAR DECAY,UNIVERSITY OF NOTRE DAME,2016,249000,
A SUITE OF TUMOR TARGETING PEPTIDES FOR PERSONALIZED THERAPY OF LUNG CANCER,SRI INTERNATIONAL,2016,409070,
MULTI-LAYERED VALENCY: A NOVEL DESIGN OF PEPTIDIC IMAGING AGENTS FOR ?V?6,SRI INTERNATIONAL,2015,298103,
10TH INTERNATIONAL ICAPS CONFERENCE 2016 ON LUNG CANCER PREVENTION WITH A CONSENSUS CONFERENCE ON EARLY DETECTION AND PREVENTION OF LUNG CANCER,UNIVERSITY OF TX MD ANDERSON CAN CTR,2016,20000,
MOBILE APP FOR BEHAVIORAL ACTIVATION IN SMOKING CESSATION WITH ELEVATED DEPRESSIVE SYMPTOM SMOKERS,"HEALTH BEHAVIOR SOLUTIONS, INC.",2016,225000,
DISCOVERY AND PREDICTION OF NOVEL FUNCTIONAL OUTCOME PHENOTYPES FOR ARDS,"IHC HEALTH SERVICES, INC.",2015,107578,
CLINICAL PROTOCOL AND DATA MANAGEMENT/CLINICAL TRIALS OFFICE (CORE 016),UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2016,,532275
ANALYSIS OF INTRATUMORAL CROSSTALK IN CLONAL POPULATIONS OF OVARIANTUMOR CELLS,HARVARD MEDICAL SCHOOL,2016,396541,
DEFINING THE ROLE OF WNT5A IN LKB1-DEFICIENT NON-SMALL CELL LUNG CANCER METASTASIS,SALK INSTITUTE FOR BIOLOGICAL STUDIES,2016,54294,
RCT OF A MOTIVATIONAL DECISION SUPPORT SYSTEM FOR SMOKERS WITH SMI,DARTMOUTH COLLEGE,2015,598840,
BIOMATERIALS THAT PROMOTE INFECTION IMMUNITY,UNIVERSITY OF WASHINGTON,2015,400471,
PRE-MRNA PROCESSING FACTORS MAINTAIN NORMAL MITOSIS,WRIGHT STATE UNIVERSITY,2015,377388,
VALIDATION OF PROGNOSTIC AND DIAGNOSTIC MOLECULAR TESTS IN MESOTHELIOMA,BRIGHAM AND WOMEN'S HOSPITAL,2015,345927,
A TARGETED DRUG DELIVERY SYSTEM FOR REDUCING NEUTROPHIL-MEDIATED DAMAGE,"MEDVAS CONCEPTS, LLC",2016,223259,
RUMI: A PATIENT PORTAL FOR RETRIEVING UNDERSTANDABLE MEDICAL INFORMATION,UNIVERSITY OF CALIFORNIA LOS ANGELES,2015,324901,
FUNCTIONAL DYNAMICS OF MAMMALIAN AND VIRAL DNA REPAIR POLYMERASES,UNIVERSITY OF TEXAS MEDICAL BR GALVESTON,2016,309268,
PROGRAM LEADERS,UNIVERSITY OF COLORADO DENVER,2016,,206859
PLANNING-EVALUATION,UNIVERSITY OF COLORADO DENVER,2016,,15917
SPORE IN LUNG CANCER,UNIVERSITY OF COLORADO DENVER,2016,47187,
ADMINISTRATIVE SHARED RESOURCE CORE,UNIVERSITY OF COLORADO DENVER,2016,,160771
DEVELOPMENTAL RESEARCH PROGRAM,UNIVERSITY OF COLORADO DENVER,2016,,67438
SPORE IN LUNG CANCER,UNIVERSITY OF COLORADO DENVER,2016,2162000,
CENTER FOR INDIGENOUS ENVIRONMENTAL HEALTH RESEARCH,UNIVERSITY OF ARIZONA,2016,700000,
THE WOMEN'S HEALTH STUDY: INFRASTRUCTURE SUPPORT FOR CONTINUED COHORT FOLLOW-UP,BRIGHAM AND WOMEN'S HOSPITAL,2016,831076,
MECHANISMS OF MACROPHAGE-MEDIATED TUMOR METASTASIS,ROSWELL PARK CANCER INSTITUTE CORP,2016,35068,
MODELING THE ROLE OF THE GENOME IN CHEMOTHERAPY INDUCED CARDIOTOXICITY USING IPSC,NORTHWESTERN UNIVERSITY AT CHICAGO,2016,247651,
ALLOGENEIC ANTIBODY THERAPY FOR MALIGNANT MESOTHELIOMA,BAYLOR COLLEGE OF MEDICINE,2016,79250,
ENABLING NEW TRANSLATIONAL DISCOVERIES USING A GENOMIC DATA-DRIVEN NOSOLOGY,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",2015,602322,
IMMUNOLOGIC MONITORING AND CELLULAR PRODUCTS LABORATORY,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2016,,534844
THERAPEUTIC STRATEGIES FOR TARGETING PARP1 IN SMALL CELL LUNG CANCER,UNIVERSITY OF TX MD ANDERSON CAN CTR,2016,366000,
DEVELOPMENT AND FEASIBILITY TESTING OF A LUNG CANCER SCREENING DECISION AID,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,2015,162440,
ASSESSING DEFORMABLE IMAGE REGISTRATION IN THE LUNG USING HYPERPOLARIZED-GAS MRI,DUKE UNIVERSITY,2016,207860,
EXOME SEQUENCING TO IDENTIFY NOVEL GENETIC FACTORS FOR LUNG CANCER IN NONSMOKERS,VANDERBILT UNIVERSITY MEDICAL CENTER,2016,616428,
ORAL MICROBIOME AND LUNG CANCER RISK,VANDERBILT UNIVERSITY MEDICAL CENTER,2016,674957,
PROJECT 4: QUANTIFICATION AND BIOMARKERS OF SHORT-TERM PULMONARY EFFECT P302-340,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",2016,,429509
MOLECULAR ENDOTYPES OF ARDS:  IDENTIFICATION; BIOLOGY; AND DIFFERENTIAL RESPONSE TO THERAPY,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",2016,406026,
ARDS ENDOTYPES: EXPANDED ANALYSIS OF CLINICAL AND BIOLOGICAL PHENOTYPES AND EVOLUTION OVER TIME,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",2016,120269,
CANCER CENTER SUPPORT GRANT,OHIO STATE UNIVERSITY,2016,198176,
CANCER CENTER SUPPORT GRANT,OHIO STATE UNIVERSITY,2016,498265,
CANCER CENTER SUPPORT GRANT,OHIO STATE UNIVERSITY,2016,200000,
CANCER CENTER SUPPORT GRANT,OHIO STATE UNIVERSITY,2016,125000,
CANCER CENTER SUPPORT GRANT,OHIO STATE UNIVERSITY,2016,200000,
CANCER CENTER SUPPORT GRANT,OHIO STATE UNIVERSITY,2016,5040816,
MICRORNA AND IMMUNOPHENOTYPIC ALTERATIONS IN HEMATOLOGIC MALIGNANCIES,CLINICAL CENTER,2015,,
EFFECTS OF VITAMIN D AND OMEGA-3 FATTY ACIDS ON INFECTIOUS DISEASES AND HCAP18,BRIGHAM AND WOMEN'S HOSPITAL,2015,783256,
TARGETING M. CATARRHALIS FOR PREVENTION AND TREATMENT OF OTITIS MEDIA,STATE UNIVERSITY OF NEW YORK AT BUFFALO,2016,390581,
PROJECT 2: ROLE OF CODON AND ISOFORM DIFFERENCES IN RAS TUMORIGENESIS,UNIV OF NORTH CAROLINA CHAPEL HILL,2016,,132160
RADIATION ONCOLOGY BRANCH - RADIATION CLINIC,DIVISION OF BASIC SCIENCES - NCI,2015,6587182,
LKB1/AMPK SIGNALING AND PEUTZ-JEGHERS SYNDROME,BRIGHAM AND WOMEN'S HOSPITAL,2016,,205457
GEORGIA NCI COMMUNITY ONCOLOGY RESEARCH PROGRAM (NCORP),NORTHSIDE HOSPITAL ATLANTA,2016,1045219,
NOVEL RAS INHIBITOR PRODRUG FOR COLORECTAL CANCER,"ADT PHARMACEUTICALS, INC.",2016,300000,
QUANTITATIVE IMAGE ANALYSIS; PROCESSING AND MANAGEMENT,UNIVERSITY OF MICHIGAN,2016,,315843
BONE MARROW MSCS/PERICYTES: GATEKEEPERS CONTROLLING SKELETAL METASTASIS.,CASE WESTERN RESERVE UNIVERSITY,2016,325775,
PHARMACOGENETIC STUDIES,DIVISION OF CANCER EPIDEMIOLOGY AND GENETICS,2015,1222415,
GEI - GENOME-WIDE ASSOCIATION STUDIES,DIVISION OF CANCER EPIDEMIOLOGY AND GENETICS,2015,174823,
PET IMAGING OF PULMONARY FIBROSIS,MASSACHUSETTS GENERAL HOSPITAL,2016,769321,
TRANSLATIONAL THERAPEUTICS RESEARCH PROGRAM (TT),OHIO STATE UNIVERSITY,2016,,36301
NOTCH LIGANDS IN REGULATION OF ANTI-CANCER IMMUNITY,OHIO STATE UNIVERSITY,2016,314259,
CANCER EPIDEMIOLOGY,UNIVERSITY OF HAWAII AT MANOA,2016,,16780
COMMERCIALIZATION OF MAGNETO-NANOSENSOR IMMUNOASSAY PLATFORM FOR CANCER DIAGNOSIS,"MAGARRAY, INC.",2015,940623,
EUNICE KENNEDY SHRIVER NICHD COOPERATIVE MULTICENTER NEONATAL RESEARCH NETWORK,EMORY UNIVERSITY,2016,242099,
MODULATION OF HOST IMMUNE DEFENSE BY PNEUMOCYSTIS BETA-GLUCANS,MAYO CLINIC ROCHESTER,2016,165456,
A CANCER RAINBOW MOUSE FOR SIMULTANEOUS ASSESSMENT OF MULTIPLE ONCOGENES,DUKE UNIVERSITY,2016,395912,
CENTER OF EXCELLENCE FOR HIGH THROUGHPUT PROTEOGENOMIC CHARACTERIZATION,"BROAD INSTITUTE, INC.",2016,1288045,
INTEGRATED DISCOVERY PIPELINE FOR TUMOR NEOANTIGENS,UNIVERSITY OF PENNSYLVANIA,2016,562825,
PLANNING AND EVALUATION,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,2016,,49974
CACHEXIA IN APCMIN/+ MICE: THE ROLE OF IL-6,UNIVERSITY OF SOUTH CAROLINA AT COLUMBIA,2016,62919,
CACHEXIA IN APCMIN/+ MICE: THE ROLE OF IL-6,UNIVERSITY OF SOUTH CAROLINA AT COLUMBIA,2016,296663,
ASBESTOSIS IS REGULATED BY RAC1-MEDIATED MITOCHONDRIAL H2O2 LEVELS,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2016,371178,
IMPROVED CARDIOVASCULAR RISK REDUCTION TO ENHANCE RURAL PRIMARY CARE:I-CARE,UNIVERSITY OF IOWA,2016,704231,
DISSECTING GASTRIC CANCER CLONALITY WITH GENOMIC ANALYSES AND PATIENT XENOGRAFTS,UNIVERSITY OF CALIFORNIA AT DAVIS,2016,170738,
EXPANDING INDEPENDENT RESEARCH CAPACITY IN HIV-ASSOCIATED MALIGNANCIES IN UGANDA,FRED HUTCHINSON CANCER RESEARCH CENTER,2016,303180,
NOVEL TUMORIGENIC MECHANISMS OF THE LKB1 TUMOR SUPPRESSOR,UT SOUTHWESTERN MEDICAL CENTER,2016,370194,
PANGEA: PERSONALIZED ANTIBODIES FOR GASTROESOPHAGEAL ADENOCARCINOMA PILOT TRIAL,UNIVERSITY OF CHICAGO,2016,168507,
REGULATORY T CELL DIVERSITY IN RECOGNITION OF INFLUENZA VIRUS HA,WISTAR INSTITUTE,2016,586712,
STUDY OF OSTEOPOROTIC FRACTURES (SOF)-PITTSBURGH CLINIC,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2015,253542,
NOTCH INHIBITION IN MELANOMA,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,2015,184331,
NOVEL MICROARRAYS FOR DNA GENOTYPING IN THE PRESENCE OF EXCESS BACKGROUND DNA,"SCANOGEN, INC.",2015,350000,
MECHANISM-BASED THERAPIES FOR PANCREATIC CANCER INFORMED BY STROMAL MICRORHEOLOGY,UNIVERSITY OF MASSACHUSETTS BOSTON,2015,237851,
REGULATION OF MLK3 BY OXIDATIVE STRESS IN COLON CANCER CELLS,UNIVERSITY OF TOLEDO,2016,442500,
PROBING THE ROLE OF TUMOR SUPPRESSIVE FUNCTIONS OF ELF5 IN BREAST CANCER,UNIVERSITY OF PENNSYLVANIA,2016,187457,
THE ROLE OF HNRNP L IN NON-SMALL CELL LUNG CANCER,VIRGINIA COMMONWEALTH UNIVERSITY,2016,165844,
MECHANOTRANSDUCTORY REGULATION OF TRANSCRIPTION FACTOR ACTIVITY IN FIBROSIS,EMORY UNIVERSITY,2016,46580,
MOLECULAR RISK STRATIFICATION FOR COLONOSCOPIC SURVEILLANCE,MASSACHUSETTS GENERAL HOSPITAL,2016,676118,
THE ROLE OF T REGULATORY CELLS IN CIGARETTE SMOKE-INDUCED SUSCEPTIBILITY TO TUBERCULOSIS,DENVER RESEARCH INSTITUTE,2016,226443,
CANCER-ASSOCIATED FIBROBLAST IN THE REGULATION OF BLADDER CANCER STEM CELLS,BAYLOR COLLEGE OF MEDICINE,2016,324738,
INTERNATIONAL SYMPOSIUM ON JUVENILE MYELOMONOCYTIC LEUKEMIA (JMML),INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,2016,10000,
SHORT-TERM TRAINING PROGRAM IN BIOMEDICAL SCIENCES,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,2016,174489,
INVESTIGATING THE MOLECULAR MECHANISMS IN CONTROLLING THE ARYL HYDROCARBON RECEPT,UNIVERSITY OF THE PACIFIC-STOCKTON,2014,367058,
TARGETING HYPERPLASTIC AIRWAY CELLS USING A SMALL MOLECULE INHIBITOR,LOVELACE BIOMEDICAL & ENVIRONMENTAL RES,2016,327000,
METABOLIC REGULATION OF ACUTE LUNG INJURY,NORTHWESTERN UNIVERSITY AT CHICAGO,2016,,361193
COORDINATELY REGULATED ALTERNATIVE SPLICING IN DNA DAMAGE AND CANCER,RESEARCH INST NATIONWIDE CHILDREN'S HOSP,2014,289653,
AUTOIMMUNITY AS A MECHANISM FOR ATHEROSCLEROSIS IN COPD,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2016,166104,
MOLECULAR IMAGING PROBES TO STUDY METAL BIOLOGY,UNIVERSITY OF CALIFORNIA BERKELEY,2016,344641,
INNOVATIVE MULTIDISCIPLINARY EDUCATION:  THE STATISTICAL GENETICS OF ADDICTION,UNIVERSITY OF TX MD ANDERSON CAN CTR,2014,285272,
FOLLOW-UP CARE AND PREVENTIVE SERVICE USE AMONG SURVIVORS OF ADOLESCENT AND YOUNG ADULT CANCER.,KAISER FOUNDATION RESEARCH INSTITUTE,2016,217666,
STRESS RESPONSE; P97; AND NRF2 IN ARSENIC-MEDIATED TOXICITY,UNIVERSITY OF ARIZONA,2017,329458,
ADDRESSING FUGITIVE CHEMICAL HEALTH RISKS THROUGH COMMUNITY-BASED ACTIONS,RAND CORPORATION,2016,517508,
THE UNIQUE ROLE OF B-RAF IN MURINE CARDIAC DEVELOPMENT AND POSTNATAL FUNCTION,OREGON HEALTH & SCIENCE UNIVERSITY,2016,172812,
CHEMICAL STRATEGIES TO INVESTIGATE GENE REGULATION BY HISTONE SUMOYLATION,UNIVERSITY OF WASHINGTON,2016,246092,
METHODS FOR EPIDEMIOLOGY STUDIES,DIVISION OF CANCER EPIDEMIOLOGY AND GENETICS,2015,3219073,
HIGHLY MULTIPLEXED DIGITAL ASSAYS,"PROGNOSYS BIOSCIENCES, INC.",2015,559408,
TBK1 MEDIATED REGULATION OF E2F1 AS A THERAPEUTIC TARGET IN NON-SMALL CELL LUNG CANCER,H. LEE MOFFITT CANCER CTR & RES INST,2016,183244,
FFPE VALIDATION OF A SURVIVAL GENE SIGNATURE IN HPV-NEGATIVE ORAL CAVITY CANCER,FRED HUTCHINSON CANCER RESEARCH CENTER,2016,678016,
MICRORNA-190 AND OXIDATIVE STRESS IN ARSENIC CARCINOGENESIS,WAYNE STATE UNIVERSITY,2016,339638,
VALIDATION OF 4-MIRNA SIGNATURE FOR EARLY LUNG CANCER DETECTION,UNIVERSITY OF MICHIGAN,2016,218987,
HEALTH EFFECTS OF EXPOSURES IN AGRICULTURE,NATIONAL INSTITUTE OF ENVIRONMENTAL HEALTH SCIENCES,2015,332734,
TARGETING KEY ORPHAN NUCLEAR RECEPTOR IN LETHAL PROSTATE CANCER,UNIVERSITY OF CALIFORNIA AT DAVIS,2016,358756,
CHEMICAL GENETIC DISSECTION OF HIPK4-DEPENDENT HEDGEHOG PATHWAY ACTIVATION,STANFORD UNIVERSITY,2015,196287,
TARGETING EPHA2 IN LUNG CANCER SUBTYPES THAT ARE REFRACTORY TO CURRENT THERAPY,VETERANS HEALTH ADMINISTRATION,2016,,
EPHRIN-A1 IN LIPOGENESIS AND BREAST CANCER METASTATIC PROGRESSION,VANDERBILT UNIVERSITY MEDICAL CENTER,2016,379993,
SIGNALING AND TARGETING OF 6-PHOSPHOGLUCONATE DEHYDROGENASE IN HUMAN CANCERS,EMORY UNIVERSITY,2016,325412,
MITOCHONDRIAL ACETYL-COA ACETYLTRANSFERASE 1 PROMOTES THE WARBURG EFFECT,EMORY UNIVERSITY,2016,325093,
